,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
TUTORIAL_20,Research labs are pretty slow compared to other\nbuildings. Let's overclock it. Open your inventory again.,,,与其它资源建筑相比，科技实验室的成果速度相当慢。让我们提升它的工作效率，再次打开你的库存。,Forschungslabore sind relativ langsam gegenüber anderen Gebäuden.\nLass es uns übertakten.Gehe erneut ins inventar.,Los laboratorios de investigación son bastante\nlentos comparados a otros edificios. Hagámosle un overclock.\nAbre tu inventario de nuevo.,,,A kutatólabor elég lassú a többi épülethez képest. Gyorsítsuk fel. Nyisd meg újra az inventárt.,研究所は他の\n棟と比べるとかなり遅い。オーバークロックしてみましょう。もう一度インベントリを開いてください。,Ontwikkelingslabs zijn best traag vergeleken met andere \ngebouwen. Laat ons het overclocken. Ga nogmaals naar je inventaris.,
TUTORIAL_22,There we go! Now it's a little faster.,,,开始了！现在工效提高一点了。,So! Jetzt ist es etwas schneller.,¡Míralo! ahora es un poco más rápido.,,,,ほらね！これで少しは速くなりました。,Ziezo! Nu is het iets sneller.,
TUTORIAL_23,Labs produce science points (SP) that can\nbe spent in the science tree.\nSave up 5 SP to do your first research.,,,实验室中扩充的知识可以在科技树中研究新技术。\n学习5个知识点以开启第一项科研。,Forschungslabore generieren Wissenschaftspunkte (SP) die\nim Forschungsbaum benutzt werden.\nErspare 5 SP für das erste Projekt. ,Los laboratorios producen puntos de ciencia (SP)\nque pueden ser usados en el\nárbol de ciencia. Ahorra 5 SP para hacer\ntu primera investigación.,,,,研究室では科学ポイント（SP）を生産し、科学ツリーで\n消費することができます。\nSPを5個貯めて、最初の研究を行いましょう。,Labs produceren onderzoekspunten (SP) die je kan\nuitgeven in de technologieboom.\nSpaar 5 SP om je eerste technologie te ontwikkelen.,
TUTORIAL_24,You are ready to do your first research!\nClick this to open the science tree.,,,你准备好做你的第一项研究了\n单击此项打开科技树。,Du hast genug für das erste Projekt!\nKlicke hier um die Forschungsbaum zu öffnen.,¡Estás listo para hacer tu primera investigación!\nHaz clic aquí para abrir el árbol de ciencia.,,,,最初の研究をする準備ができました\nこれをクリックすると、サイエンスツリーが表示されます。,Je bent klaar voor je eerste onderzoek!\nKlik hier om de technologieboom te openen.,
TUTORIAL_25,"Look for the ""Rover construction"" science\nand click to research it.",,,查找“载具探究学”科技\n并单击进行研究。,Erforsche Roverkonstruktion,"Busca la investigación ""Construcción de rovers""\ny hazle clic para investigarla.",,,,サイエンスツリーから、「ローバー建設」を探し、クリックして研究してください。,Zoek naar de 'Roverconstructie' technologie\nen klik erop om het te onderzoeken.,
TUTORIAL_26,Now it's time to try doing things on your own.\nThe game will still give you objectives to guide you\na little bit. Experiment with things and have fun!\nThe game now auto-saves every 10 seconds.,,,现在是时候自己动手了。\n其间仍然会给你许多主线任务目标来指引你。大胆探索，旅途愉快！\n现在默认是每10秒自动存档一次。,"Jetzt ist es an der Zeit, Dinge auf eigene Faust zu tun.\nDas Spiel gibt dir immer noch Ziele vor, um dich ein wenig anzuleiten. Experimentiere mit den Dingen und habe Spaß!\nDas Spiel speichert jetzt alle 10 Sekunden automatisch.",Llegó el momento de tratar de hacer las cosas por\ntu cuenta. El juego te seguirá dando objetivos para\nguiarte un poco. Experimenta con las mecánicas y\ndiviertete! El juego hace un autoguardado cada 10 segundos.,,,,今度は自分でやってみる番です。\nこのゲームでは、まだ目標が与えられていて、あなたを少しは導いてくれるでしょう。いろいろ試して、楽しんでください。\nゲームは10秒ごとにオートセーブされるようになりました。,Nu is het aan jou om zelf dingen te proberen.\nHet spel zal je nog steeds doelen geven om je te gidsen.\nVeel plezier met experimenteren!\nHet spel slaat automatisch op om de 10 seconden.,
TUTORIAL_27,You have unlocked the star system view!\nThis is where you can see other planets in this star system\nand conquer them. Your planets have a green glow.,,,您已解锁恒星系视图\n这就是你在这个恒星系统中看到其它行星并征服它们的地方。您的势力行星大体散发绿色的光芒。,Du hast die Sternensystemansicht freigeschaltet!\nDort kannst du andere Planeten in dem Sternensystem sehen\nund diese einnnehmen.Deine Planeten leuchen grün.,Has desbloqueado la vista de sistema estelar!\nAquí es donde puedes ver otros planetas en este sistema estelar\ny conquistarlos. Tus planetas tienen un brillo verde.,,,,あなたは、星系ビューのロックを解除しました！ \n\nこの星系にある他の惑星を見ることができ、それらを征服することができます。あなたの惑星は緑色に光っています。,Je hebt het zonnestelseloverzicht vrijgespeeld!\nHier kan je de andere planeten van deze ster bekijken\nen veroveren. Jouw planeten hebben een groene gloed.,
TUTORIAL_28,You can move/zoom the view like you do in planet view.,,,您可以像在“行星视图”中那样移动/缩放视图。,Du kannst die ansich verändern oder sie vergrößern/verkleinern wie in der Planentenansicht.,Puedes mover la cámara y hacer zoom tal y como en la vista de planeta.,,,,プラネットビューと同じように移動/ズームが可能です。,Je kan de camera bewegen/zoomen zoals op het planeetoverzicht.,
TUTORIAL_29,You don't seem to have a ship yet. You need to take control\nof the ship that you can find in your home planet.\nCome back here once you have it!,,,您好像还没有战列舰，是时候需要一艘了\n您可以在自己的母星上找找被废弃的飞船。\n一旦修复并驾驭它，就马上回来！,Du hast noch kein Schiff.Du musst das auf dem Heimatplaneten\n übernehmen.Komm\nwieder wenn du es besitzt!,Aún no pareces tener una nave. Debes tomar el control\nde la que se encuentra en tu planeta hogar. ¡Vuelve\nuna vez que la tengas!,,,,あなたはまだ艦船を持っていないようですね。あなたの母星にある艦船を操縦する必要があります。\n手に入れたら、またここに来てね。,Het lijkt erop dat je nog geen schip hebt. Je moet controle nemen\nover het schip op je thuisplaneet.\nKom terug eens je het hebt!,
TUTORIAL_30,Click a planet with a red glow to send ships over there\nand engage in battle.,,,点击一颗有红光的行星，将飞船派到那里\n并投入战斗。,Klicke auf einen Rot leuchtenden Planeten um dorthin Schiffe zu senden und einen Schlacht zu beginen.,Haz clic en un planeta con brillo rojo para enviar\ntus naves y atacar al enemigo.,,,,赤く光っている惑星をクリックすると、そこに艦船を派遣し、\n戦闘を行うことができます。,Klik op een planeet met een rode gloed om er schepen\nnaar te sturen en aan te vallen.,
BUILD_OBJECTIVE,Build {num} {bldg},Construire {num} {bldg},Costruire {num} {bldg},建造 {num} 座 {bldg} ,Konstruiere {num} {bldg},Construye {num} {bldg},{bldg} {num}개 건설하기,,Építs: {num} {bldg},建設 {num} {bldg},Bouw {num} {bldg},
MINE_OBJECTIVE,Mine %s tiles,Miner %s tuiles,,挖掘 %s 层区块,Baue %s Felder,Excava %s casillas,,,Bányássz %s négyzetet,採掘 %s タイル,Delf %s velden,
SAVE_OBJECTIVE,Save up {num} {rsrc},,,存入 {num} {rsrc},Besitze {num} {rsrc},Ahorra {num} {rsrc},,,Szerezz: {num} {rsrc},{num} {rsrc} を貯めましょう,Verzamel {num} {rsrc},
SAVE_W_OBJECTIVE,Save up {num} kg of {rsrc},,,获得 {num} kg {rsrc},Sammle {num}kg {rsrc},Ahorra {num} kg de {rsrc},,,Szerezz: {num} kg {rsrc},{num} kg の {rsrc} を集めましょう,Verzamel {num} kg {rsrc},
CONQUER_OBJECTIVE,Conquer {num} {object},Conquérir {num} {object},,统治 {num} 颗{object},Nehme {num} {object} ein,Conquista {num} {object},,,,{num} {object} を征服,Verover {num} {object},
TUTORIAL_OVERCLOCK,This overclock will be used later in the tutorial. Don't use it yet!,,,此超频器将在教程使用，先别用了！,Diese Übertaktung wird später im Tutorial benutzt.Lass es noch in ruhe!,Este overclock será usado más tarde en el tutorial. ¡No lo uses aún!,,,,このオーバークロックは、チュートリアルの後半で使用します。まだ使わないでください。,Deze overclock wordt later in de tutorial gebruikt. Gebruik hem nog niet!,
FULL_MINERALS,You have reached your maximum mineral storage capacity. Build mineral silos to increase it!\nYou can also enable mineral auto-sell in the settings.,,,你已经达到了你的最大晶矿储量。建造仓库来扩充它\n您还可以在设置中启用暴仓自动销售。,Du hast die Maxiamlkapazität an Mineralien erreicht.Konstruiere mehr Mineralien Silos um mehr zu lagern.\n du kannst in den Optionen auch einen automatischen verkauf einstellen.,Haz alcanzado tu capacidad máxima de almacenamiento de minerales. ¡Construye silos de minerales\npara incrementarlo! También puedes activar la venta automática en ajustes.,,,,鉱物の貯蔵量が上限に達しました。鉱物サイロを建設して、増やしてください\n設定で鉱物の自動売却を有効にすることもできます。,Je hebt je opslagcapaciteit voor mineralen bereikt. Bouw mineraalsilos voor meer capaciteit!\nJe kan ook de 'auto mineraalverkoop' optie inschakelen in de instellingen.,
ISC_SC,Improved stone crusher,,,碎石机改良计划,Verbessertes Steinmahlwerk,Triturador de piedras mejorado,,,Jobb kőzúzók,石破砕機の改良,Verbeterde steenverbrijzelaar,
ISC_DESC,Allows stone crushers to extract metals.,,,使石材精炼厂能够提炼出金属。,Ermöglicht es dem Steinmahlwerk Metalle zu extrahieren.,Le permite extraer minerales a los trituradores de piedra.,,,A kőzúzók fémeket is generálnak.,石材粉砕機による金属の抽出を可能にする。,Staat steenverbrijzelaars toe metalen te ontginnen.,
CAVE_CONTROLS,Controls:\nWASD: move rover\nScroll wheel: Change active item\nHold left/right click: use active item\nM: toggle minimap,,,操作：\nWASD:移动矿车\n滚动滚轮：更改探险工具\n左键单击：使用探险工具\nM:切换小地图,Steuerung:\nWASD: Roverbewegung\nMausrad: Aktives Item änderen\nLinks Klick: Aktives Item nutzen\nM: Karte aufschalten,Controles:\nWASD: mover el rover\nRueda del ratón: Cambiar objeto activo\nMantener clic izquierdo: usar objeto activo\nM: activar minimapa,,,,操作方法\nWASD：ローバーの移動\nスクロールホイール。アクティブアイテムの変更\n左クリックのホールド：アクティブアイテムの使用\nM：ミニマップのトグル,Besturing:\nWASD: rover bewegen\nMuiswiel: verander actief item\nLinkermuis ingedrukt houden: gebruik actief item\nM: toon/verberg minimap,
CRUST_OBJECTIVE,Reach the crust in mining,Atteindre la croûte dans les mines,,在地壳采矿,Erreiche die Kruste im handabbau,Excava hasta alcanzar la corteza,,,Érd el a kérget bányászás közben,鉱山で地殻に到達する,Bereik de korst bij het delven,
CAVE_OBJECTIVE,Enter a cave,Aller dans une grotte,,进入一座山洞探险,Eine Höhle betreten,Entra en una cueva,,,Lépj be egy barlangba,洞窟に入る,Ga een grot in,
LEVEL_OBJECTIVE,Reach level %s,Atteindre niveau %s,,达到等级 %s,Erreiche Ebene %s,Alcanza el nivel %s,,,Érd el a %s. szintet,レベル %sに到達,Bereik level %s,
HOW2SILICON,Silicon can be obtained by crushing stone with the stone crusher building.,,,硅可以通过石材精炼厂提炼石头获得。,Silikon erhälst du durch das Mahlen von Steinen im Steinmahlwerk.,El silicio puede ser obtenido triturando piedras con el edificio correspondente.,,,,ケイ素は、石材を石材破砕機棟で破砕することで得ることができます。,Silicone kan verkregen worden door stenen te verbrijzelen in de steenverbrijzelaar.,
CLICK_CAVE_TO_EXPLORE,Click to explore this cave,Cliquez pour explorer cette grotte,,点击探险这个洞穴,Erkunde diese Höhle,Haz clic para explorar esta cueva,,,Kattints a barlang felfedezéséhez,クリックすると、この洞窟を探検できます。,Klik om deze grot te verkennen.,
WORMHOLE_OBJECTIVE,Find a wormhole on a planet,Trouver un trou de ver sur une planète,,在某颗行星上寻找一个虫洞！,Finde ein Wurmloch auf einem Planeten,Encuentra un agujero de gusano en un planeta,,,Találj egy fáreglyukat egy bolygón,惑星にあるワームホールを探す,Vind een wormgat op een planeet,
SIGNAL_OBJECTIVE,Locate the signal,Trouver la source du signal,,找出信号源的精准所在地,Finde das Signal,Localiza la señal,,,Keresd meg a jel eredetét,信号の位置を確認する,Vind het signaal,
DAVID_OBJECTIVE,Take control of David's ship,,,接管大卫的飞船,Übernehme David's Schiff,Toma el control de la nave de David,,,Vedd irányításba David hajóját,Davidの艦船を操縦する,Neem controle over het schip van David,
OP_GALAXY,Large galaxy,,,大星系,Große Galaxie,Galaxia grande,,,Nagy galaxis,大銀河,Groot heelal,Большая галактика
OP_GALAXY_DESC,"The game is about to generate a galaxy with many star systems. A galaxy of this size\ntakes up several megabytes of storage space, laggy, and not necessary for game progression.\nNevertheless, they are great for people who love exploring. Continue?",,,观测仪将需展现一个拥有许多恒星系统的星系。这种规模的星系\n会占用数兆字节的存储空间，太大了，对于游戏进程来说不是必需的。\n然而，对于喜欢探索的人来说，它们是非常棒的。继续吗？,"Das Spiel ist dabei, eine Galaxie mit vielen Sternensystemen zu erzeugen. Eine Galaxie dieser Größe nimmt mehrere Megabyte Speicherplatz in Anspruch, es kommt zu Verzögerungen und ist für den Spielfortschritt nicht notwendig.\n Nichtsdestotrotz sind sie großartig für Leute, die gerne erkunden. Weiter?","El juego está a punto de generar una galaxia con muchos sistemas estelares.\nUna galaxia de este tamaño ocupa una cantidad considerable de megabytes de almacenamiento, se lagea\ny no es necesaria para progresar en el juego. Sin embargo, son perfectas para aquellos\nque aman la exploración. ¿Continuar?",,,"A játék egy sok renndszerrel rendelkező galaxist fog generálni. Egy ekkora galaxis több megabájt tárhelyet foglal, lassítja a játékot, és nem fontos a haladáshoz. De mégis jók lehetnek a felfedező szelleműeknek. Folytatod?",ゲームは多くの星系を持つ銀河系を生成しようとしている。このサイズの銀河系は\n数メガバイトの記憶容量を占め、ラグがあり、ゲームの進行には必要ない。\nとはいえ、探索好きな人にはもってこいです。続ける？,"Het spel staat op het punt een heelal te genereren met zeer veel sterren. Een heelal van deze grootte\nneemt verschillende megabytes in beslag, kan het spel vertragen, en is niet noodzakelijk om voortgang te maken.\nHet is echter wel uitstekend als je van verkennen houdt. Doorgaan?",
